Error X;Error Y;Error Fijacion X;Error Fijacion Y
4.13023;-5.87094;-30.20725;-8.61435
15.46774;4.80278;1.04504;-5.22461
3.36709;-3.89362;11.64648;5.56152
-6.77072;2.48314;0.17749;-3.23707
9.02119;-6.78009;0.05742;-1.44594
23.16768;-4.11302;0.14408;-3.41048
21.69310;5.43455;8.23763;-4.50644
8.33159;-6.77498;57.08671;15.91381
6.40645;-5.47946;5.25684;-2.39884
6.82815;9.15594;-1.97213;-5.08604
7.84809;-4.24075;5.77887;7.08665
2.56317;-5.83998;11.47098;-1.60944
-0.94560;-3.80646;1.89236;-4.30462
4.14492;-6.29471;-8.03999;-3.61486
24.52362;-14.48597;5.98507;-4.93051
-9.60535;2.68751;22.45116;-9.61932
0.14715;0.98130;-14.82825;2.58533
12.22071;-7.41365;-3.35045;3.22175
9.18136;-15.86164;11.00177;-7.30891
-0.27668;7.76109;12.78075;-14.19855
-4.66039;-8.83504;-10.45886;11.07449
37.12675;9.01798;-4.68910;-8.03798
15.42095;15.48801;25.50115;6.83630
-2.26039;-10.26466;22.54927;16.59674
-1.30507;37.75955;-2.98862;-10.61210
2.43266;-11.94053;-3.56024;34.96730
6.94841;-20.81194;2.50052;-14.80687
-6.34266;13.45800;6.31937;-17.92772
-22.65844;48.61369;-8.64742;17.01666
4.53122;-9.63111;-15.78331;36.61185
20.15834;-20.60418;2.97557;-8.26436
-17.95260;5.96771;23.96132;-16.80283
-4.94075;-16.59856;-15.11276;2.94809
4.42681;16.04333;-12.30920;-12.12789
0.64210;-13.19865;5.15765;15.18496
3.55502;21.89352;-0.15400;-10.89689
-9.36521;19.87595;0.65254;19.02718
-0.77260;-7.21439;0.05742;11.91048
0.06786;-18.14419;-0.81698;-6.81075
1.70182;3.61230;0.00522;-13.05784
