Error X;Error Y;Error Fijacion X;Error Fijacion Y
-12.17914;2.03698;16.78877;7.87500
4.47059;-0.19970;-17.54813;2.79586
2.89171;9.94119;-0.01604;-0.59024
0.64171;-4.85059;20.94786;29.72965
-8.96658;52.65568;1.10963;3.23077
-3.16043;5.21006;-8.35695;49.22743
3.58760;-6.72781;-3.28075;3.72781
-11.05882;5.56509;-7.34823;-1.52219
-3.55329;-7.27605;-2.50802;3.43713
16.54545;7.50000;-1.95436;-2.62073
-6.36898;1.06509;2.61230;-0.34393
-1.89840;6.27071;-6.43316;2.43861
-9.12413;15.04014;-2.95989;7.21376
14.43850;6.82101;2.69672;2.54753
-2.89305;-25.19822;2.53476;2.37870
-0.51872;-1.18047;-7.42781;-0.38831
1.53743;2.63609;-2.57487;1.66642
12.72727;6.51036;0.32620;3.15976
3.21658;1.20266;2.93850;2.13905
-1.94118;0.61243;-5.62834;1.14053
5.47274;5.24351;-1.70321;0.22633
0.72193;-0.26627;7.20269;3.97649
-0.76892;4.33156;-2.55615;0.14423
-3.13904;-0.16864;-3.38389;2.90700
-16.55935;-4.07191;-5.55615;2.57396
-1.77540;3.79438;-1.44972;3.45916
-3.58824;-3.63905;-2.78075;1.20044
-4.03209;6.75888;-4.29679;-1.33136
-1.90846;1.75296;-4.30214;4.55104
-1.59358;2.88462;-2.66514;1.69970
1.13618;-6.87220;-1.23529;2.90680
1.05882;10.90385;-8.21944;1.14481
-0.11339;-2.51627;3.86096;5.36095
0.85027;2.56509;2.35987;1.29142
-11.04169;-4.84172;-0.54545;2.13240
-0.77540;4.41124;-10.44276;-1.38462
-1.37968;5.80917;5.96524;5.24778
-3.12834;-1.90385;-1.67112;1.38462
-7.80214;4.67751;-3.61497;0.68121
-1.86631;8.09911;-6.87701;4.85947
