Error X;Error Y;Error Fijacion X;Error Fijacion Y
-55.00722;22.58420;-14.89570;9.25400
-4.36575;-5.58351;-54.91028;22.48336
-5.60781;-7.96466;-7.62502;-2.18385
-6.46506;-6.42478;-5.51422;-9.82871
-2.47714;-3.92916;-10.39290;1.57594
0.72205;-5.97534;-2.47714;-9.03730
-4.45567;-6.58382;-1.09311;-3.66760
-3.28936;-2.80040;-7.24360;-8.82529
-0.98280;2.94722;-4.40587;-2.63042
-4.19861;-0.13829;0.06017;2.27305
-1.00579;-3.35933;-5.29506;-0.28811
-0.43457;-2.08589;-2.54350;-4.45701
-3.42024;-5.25251;-3.27933;-1.79203
-0.42120;-4.00469;-5.51285;-4.57545
-3.86085;-4.07959;-2.18622;-2.86378
-4.41255;-2.76583;-2.49028;-6.15108
-4.36944;-1.71481;-1.96559;-3.83470
-0.58165;0.24777;-3.32647;-1.68312
0.12034;-5.62500;-0.09360;0.04033
-2.11936;1.30801;-5.58255;-5.92751
-0.72590;0.24521;-4.17521;0.28234
-4.10501;2.93293;-3.42024;6.54322
-7.30077;-2.88245;-4.47941;1.29072
-3.93787;7.78465;-6.00374;-4.81565
-2.18101;-0.40473;-7.80888;2.64770
-2.99519;-0.67417;-1.19821;-0.59776
-5.17472;-3.61839;-3.95792;0.63672
-3.80415;-0.40335;-7.05340;-4.07360
-3.49862;-2.65364;-5.79983;-0.00288
-1.94553;1.39444;-2.82002;-1.05177
-7.64174;-5.93915;-4.38247;0.56469
-3.42307;-1.71136;-5.26832;-4.46693
-3.72068;8.85579;-2.42690;1.12074
-6.81940;1.21005;-8.88871;19.19595
-2.97312;-9.12452;-8.63122;-0.04898
-5.76306;-2.65635;-8.14784;-9.67193
-2.57131;-0.69146;-6.80603;-3.00207
-7.53477;-3.60134;-2.11669;1.12650
11.81102;11.75714;-8.13313;-6.94914
-8.92539;-5.08221;23.01622;20.86132
