Error X;Error Y;Error Fijacion X;Error Fijacion Y
7.74115;-1.98155;-57.57309;-13.64504
-6.71206;-1.11959;2.36598;-0.68384
-14.05660;-2.45929;-5.24503;-0.78562
-4.07772;-1.96565;-14.23801;-2.60560
-3.16895;2.39186;-3.41519;-1.30407
-2.42139;1.32316;-3.43711;1.39631
-13.64959;-1.71281;-3.89237;1.10687
-4.45630;1.96565;-12.78199;-1.83368
1.06064;5.83651;-6.02193;-0.26718
-4.77180;2.32188;1.72711;4.16985
-11.81974;1.75098;-6.21122;1.44402
-4.80334;-2.75445;-11.99721;-1.55691
-2.16111;-4.37150;-5.79714;-2.31552
-6.19150;-0.29262;-2.97350;-2.46947
-11.14352;-0.25250;-7.89121;-0.09860
-9.37796;0.56616;-12.12943;-6.33710
-3.28922;3.08873;-9.01514;0.85878
-5.22926;-0.90967;-8.08073;-0.10465
-8.76291;0.07286;-3.75434;-2.30280
-4.29067;0.03817;-8.63277;-1.32345
-4.78757;-2.28244;-3.47828;0.03499
-3.21012;-3.06616;-4.63377;-3.86641
-5.83453;-1.64758;-3.05632;-2.53817
-5.42644;-4.17303;0.36092;-2.82125
-1.86139;-7.43257;-9.58697;-5.11132
-6.34925;-5.50891;-2.92618;-7.35305
-9.92218;-2.85623;-2.50815;-3.73410
-7.60332;-0.61705;-12.91145;-1.79389
4.94295;3.53690;-12.29230;-2.02926
-4.96109;0.17812;-1.61926;2.17875
-7.62848;-1.03308;-5.63545;0.78244
-7.35882;-3.40331;-10.05382;-1.28753
1.83000;-5.61416;-8.17515;-3.45738
-1.38027;-4.28117;6.30208;-5.91632
-13.57280;-1.80857;-2.87885;-3.51145
-3.49406;-3.21883;-13.39534;-1.85628
0.67830;-0.94529;-3.91208;-2.97710
-32.11694;-10.69338;-3.45462;-8.92557
-13.70784;-3.74969;-4.35377;-6.17048
0.85971;-3.78499;-7.97774;-5.09511
