Error X;Error Y;Error Fijacion X;Error Fijacion Y
0.53826;-0.54979;14.89163;14.84523
1.52218;-6.69669;0.67183;-2.23747
14.96472;47.37757;0.41583;-5.15395
-1.14415;-0.52080;14.75050;46.31140
-4.24899;0.48149;-1.65323;-0.58958
4.19859;-2.96757;6.82460;-2.27727
6.04093;9.23559;1.54234;-1.95054
-3.45262;-4.07304;3.68206;5.86513
-6.60786;7.67000;-1.58518;-2.40010
-1.39113;-2.19129;1.42641;-0.51048
3.97159;3.54537;-1.46925;-2.61628
-5.33266;-5.47330;-1.44676;2.10826
-11.21976;54.48985;-0.32510;-3.53259
1.89516;-4.80511;-11.26260;54.45054
-4.42278;-2.58311;1.68347;-3.51294
-4.19859;4.50049;-7.37893;-0.81682
-0.09644;-0.56735;-3.04688;3.51539
0.74093;-0.37340;0.02452;0.55286
-3.11996;-5.49254;-0.29990;-1.41009
-1.39113;10.99574;-4.64214;-2.74852
-0.14061;-0.18081;-1.44909;8.02571
5.65020;13.84048;-0.44303;0.75270
0.84155;-1.88962;5.03528;5.67966
2.07157;2.28955;-1.85754;-0.52866
5.31956;-1.91615;0.06300;1.06862
5.99294;-3.68490;3.64617;-1.76630
-1.55746;2.56862;3.12500;-3.53259
1.71875;6.14641;-2.59073;2.44333
1.13306;-2.15198;-0.01260;4.17376
2.70161;-3.66033;-1.92389;-2.76613
-1.19456;-1.44645;1.84224;-3.50802
-4.89919;5.39469;-0.59224;1.77170
2.73622;4.53230;-0.49899;5.76073
-0.47379;-4.37275;2.37583;5.16856
12.66738;10.37717;-2.26058;-0.59695
0.89214;-3.84704;13.93502;4.78840
3.40726;19.25139;0.57460;-1.01212
3.24597;-1.47887;4.33468;11.33868
-4.91987;1.86799;1.46169;-1.44448
-5.10081;1.97511;-3.04487;-2.71111
