Error X;Error Y;Error Fijacion X;Error Fijacion Y
-14.71766;4.60739;-20.04667;6.08443
12.48221;-2.90166;10.60322;-1.40318
21.78882;-6.64652;13.00088;-4.53831
15.24418;-1.28168;17.39614;-4.36665
9.98927;-1.30074;16.28365;-2.57528
-7.21014;3.38765;10.65095;-2.39184
6.32286;51.55553;3.46847;0.29064
9.19090;9.79131;6.17558;51.51026
7.81162;-5.57925;11.08842;6.78721
11.07348;-1.16257;5.16064;-3.41134
37.68416;-12.78993;12.14284;-1.97017
8.85793;4.59787;22.17104;-3.14394
-36.23004;-25.18321;11.94220;0.80284
14.23672;5.14580;12.82369;-3.96633
15.61831;-4.29603;14.02115;3.56632
-2.66378;-2.04879;24.21797;28.84196
-40.38246;27.26719;-7.72454;2.47046
8.69145;-6.31790;-41.17221;27.84610
8.34676;7.25529;8.05111;-3.00886
3.91457;-1.06251;2.00533;11.96036
9.29208;-0.96722;-3.97220;0.57176
7.89743;-1.66285;10.18641;-1.59853
10.28801;-6.44054;1.23157;-0.50743
-16.72975;5.82237;8.94117;-4.04155
-38.02297;35.31757;-11.07775;4.21670
15.35517;-2.66819;-19.69452;23.06057
9.92579;-26.96529;14.57823;-3.14704
14.65934;2.40614;14.05807;-0.59307
-20.01679;37.55584;13.14389;-0.50029
9.53242;-1.41509;-20.09577;37.62016
13.45552;0.78283;2.61683;1.49371
-14.56543;7.53764;12.52063;1.73337
9.66793;6.75500;10.27520;6.63236
-12.93471;3.50200;9.09163;2.80513
13.09266;-3.07071;-10.79174;2.53478
10.64232;6.43225;9.23573;-0.63836
-20.07656;48.06061;13.18444;2.30132
12.61028;0.73375;-20.00825;48.11063
9.27512;13.81665;15.22710;-2.49190
11.50464;-5.69373;4.62417;20.73251
