Error X;Error Y;Error Fijacion X;Error Fijacion Y
-2.84273;1.73728;-3.13031;0.04777
0.30772;4.62046;-1.83997;0.24344
-2.36099;-2.59197;0.73217;4.05159
-1.67126;15.91975;-3.04276;-1.32612
-10.69341;1.99822;0.14590;12.50217
5.27907;11.45996;1.37418;5.09011
-1.69930;2.50244;4.51772;12.18951
-2.85972;5.55845;1.21878;1.20619
2.75361;18.73728;-1.79595;6.05567
0.98684;1.28973;2.23366;11.89561
-5.24992;-19.03270;0.16713;7.20210
-0.92317;17.52215;1.78531;-18.64838
2.34508;17.42123;0.02388;15.95232
-0.37139;-0.81205;5.60537;11.30693
-4.10559;-0.10954;3.97920;6.40090
-3.47517;12.06357;-5.13488;-0.08783
-4.56834;12.30241;-1.11948;11.76828
4.76443;8.12923;-2.56017;11.24935
6.28820;5.87980;2.95257;6.96760
-4.47793;8.76324;3.87680;5.51937
-1.81770;-6.73957;-3.35314;7.28244
1.19376;15.45510;-0.85473;-5.94922
-2.05857;-13.52571;-1.49087;12.46309
2.97114;22.22946;-3.03215;-7.65459
-10.14963;-7.56305;2.54669;18.35591
2.48302;13.97863;-10.21595;-7.24170
-0.41913;-4.10638;5.00318;10.26359
-2.58383;18.51225;0.09816;-3.63522
-6.60440;19.32404;0.35548;14.58442
3.32661;5.64096;-1.08127;15.56557
1.56515;3.38310;2.64484;4.38814
3.88370;14.24787;4.15429;4.31457
-14.27301;-7.56134;3.59985;11.86382
6.65323;11.78565;-14.10058;-6.64072
-1.57258;-8.18563;5.66108;8.69376
-4.32937;7.34323;-1.95989;-6.28794
0.01212;-0.13782;-1.35028;6.55289
2.61036;5.72781;0.96713;2.36782
-0.79520;5.15459;1.90206;6.79825
-18.20883;3.45232;-4.19875;3.63036
