Error X;Error Y;Error Fijacion X;Error Fijacion Y
4.32876;38.55733;-5.75896;16.19217
1.12510;0.43710;10.18068;30.84612
2.00308;-7.09902;3.14645;3.22025
3.61842;13.09763;11.38046;-4.54216
6.68034;8.35813;4.94375;12.06096
16.85259;18.93857;5.70542;9.21880
3.64226;-33.42604;19.99190;19.56715
5.75896;16.49776;5.99971;-19.86036
-4.66256;34.89537;5.28699;13.06089
17.47712;7.22188;11.17936;22.39537
12.81627;26.48220;7.97340;7.38241
9.88272;-3.44267;6.75458;15.34959
5.00886;23.49210;7.98532;-1.76582
26.28242;3.26861;13.23731;16.12903
3.52879;-23.49898;13.01964;0.48159
-3.27040;33.97416;-0.81188;-10.18860
8.83391;16.64831;3.39912;27.82570
5.72559;3.60901;14.51182;11.40113
18.10072;-5.75762;6.14750;2.95722
-5.55873;3.79855;6.53989;-4.71321
5.93457;-13.09469;5.77803;4.01903
14.47368;9.78261;4.47814;-11.38883
17.23407;13.91827;10.90055;5.64366
2.69355;-1.01346;5.60888;6.78922
5.53013;7.81162;3.42534;-3.67863
3.34668;4.59926;4.58381;8.10754
28.94132;-19.25289;2.54577;13.37421
10.36899;0.18567;6.07471;-18.31873
-16.02994;-6.71128;11.41066;-5.79646
35.08772;-5.10599;10.03080;-7.71120
8.78146;-24.69588;10.61451;2.94368
9.09611;17.53056;8.21892;-24.72490
7.23299;-7.37065;10.77183;10.50983
8.23322;-4.13894;9.65481;-8.68389
12.67735;21.87435;9.14140;1.45830
0.31465;2.59168;17.81178;39.24438
6.51945;-1.62076;6.24047;-6.69000
16.57132;-2.83150;6.83171;-5.19109
25.62643;-5.74424;11.51793;-2.90693
4.85793;0.24756;19.40265;-5.36516
