Error X;Error Y;Error Fijacion X;Error Fijacion Y
-7.31975;-3.00173;0.66721;-4.04863
-3.82161;-8.50490;10.00326;-2.79482
-6.10527;-8.71667;-3.99627;-9.06386
5.84769;-14.40336;-4.64859;-10.28548
12.56870;-9.19604;3.62250;-13.65910
-4.40848;1.80968;8.20564;-7.09915
-0.48138;-10.80857;-2.26712;0.96969
-0.09781;-8.73343;8.58360;-7.54126
13.99918;-5.61865;6.90265;-5.05538
1.05496;-5.83052;14.29611;-4.83425
-3.87401;-9.33254;0.56241;-6.88360
3.10899;-8.67166;-0.26199;-11.40472
2.67759;-7.95551;2.19725;-7.98917
1.85841;-3.82937;1.14056;-7.90919
-6.43456;-11.22289;0.64625;-5.48155
2.36143;-6.73227;-4.52375;-9.99687
4.80741;-8.30108;-0.87680;-10.91678
0.48905;-7.12139;5.43968;-8.50490
-0.17397;-8.75208;2.22170;-7.73903
7.00745;-9.98106;-1.35818;-9.94412
-0.31111;-4.78906;5.00932;-8.55431
0.45412;-13.01985;1.57175;-9.69312
-1.53004;-6.58429;0.90824;-12.61838
-4.72287;-9.53636;-2.80158;-6.48238
-0.25850;-9.75859;-3.86353;-9.37886
-1.35538;-10.58017;0.36679;-9.30462
2.95788;-7.39105;-1.88286;-9.57959
-1.15976;-9.97488;0.97721;-8.64486
8.54078;-9.60195;-0.28645;-9.82356
4.06614;-6.44816;8.11460;-5.69538
-4.06614;-9.75303;3.29762;-7.32212
2.71775;-6.04052;-2.12739;-10.86478
4.47575;-10.25072;1.73964;-6.50684
6.28086;-8.46167;6.53676;-8.51824
-4.68271;-7.62816;2.59548;-8.56666
0.67769;-7.73285;-4.49058;-12.45502
-2.49510;-9.98283;-0.43666;-7.36535
0.78947;-10.58017;-3.31252;-10.37812
1.70645;-4.90219;-1.48463;-12.20456
-3.17885;-3.17467;1.54227;-7.36966
