Error X;Error Y;Error Fijacion X;Error Fijacion Y
1.66395;3.70798;5.65642;19.35709
0.61195;3.75697;6.34731;-3.28346
0.97030;1.25358;1.22390;-1.01513
2.86129;-3.78682;0.92344;-2.39142
0.32871;0.08062;1.28731;-4.74473
0.91517;-4.70740;3.49597;-1.51422
1.65279;-3.72174;0.91517;-3.80673
1.58226;-3.96596;0.92231;-3.68193
0.74052;-2.89610;0.32803;-3.86146
0.64503;-2.10490;1.30285;-2.31638
0.39136;-7.38555;0.14334;-3.44596
-0.81042;-2.26413;-3.06259;-7.71895
3.68384;0.78125;1.19910;-4.40137
-0.14885;-5.09057;4.86916;-1.12211
-5.59578;-6.59037;0.07718;-4.80693
2.12805;-3.47333;-3.81781;-2.12182
3.04322;-4.48268;2.50294;-3.55295
6.18568;-3.85151;4.12654;-3.72383
0.37927;-5.72791;4.39393;-4.60291
0.29219;-2.47313;-1.21401;-6.14092
5.32013;2.08619;1.13570;-4.13515
2.11702;-5.24980;4.38015;-1.93949
6.84166;-0.91959;2.56358;-5.16272
0.01654;-5.01095;0.77176;-5.94795
-0.93379;-1.68791;1.61258;-3.98587
2.62423;-4.00080;1.73179;-1.21269
2.15562;-19.11485;2.56910;-4.50587
3.19759;-2.71696;-2.47262;-10.21756
-3.22064;-5.01670;1.79175;-4.71736
0.99236;-4.06549;-0.33454;-3.79009
-0.78898;-9.12302;1.11089;-4.41879
-0.14885;-4.02568;-3.70816;-8.79957
6.91672;1.92533;5.84387;6.33957
2.79513;-5.68770;6.73754;-0.44828
1.12406;-2.92415;2.02055;-3.91371
0.84350;-4.96616;0.53416;-3.74770
-0.17951;-2.93591;4.54554;0.73149
2.52499;-4.57305;1.29800;-3.59027
10.59835;9.59850;1.55745;-3.79678
-0.41348;-1.71676;3.18877;-0.33631
