Error X;Error Y;Error Fijacion X;Error Fijacion Y
0.81939;9.93117;-0.66576;41.31645
1.93325;5.26465;0.67216;9.25534
-10.78113;3.76699;1.83083;5.17378
-8.36676;-1.74920;9.55964;7.42442
7.87257;5.15107;2.36536;3.89312
2.26613;1.35166;8.87760;5.38960
-1.68056;2.71478;5.08599;4.37301
4.08416;3.08383;10.80557;5.64242
2.77185;16.16220;3.42480;5.81838
4.61548;13.05089;4.92276;7.55532
0.33574;-0.63664;2.30774;7.05361
2.12530;1.93094;3.55890;1.74012
11.85912;3.96922;2.99270;5.06588
4.00094;3.74830;-3.43407;2.61756
-1.82443;-0.79055;6.98084;4.60870
5.46048;5.13971;-2.29174;3.94593
10.44981;2.76415;4.30821;3.67447
4.37223;7.72376;9.29114;4.14421
-0.45551;1.81002;9.51263;7.98785
3.93052;6.29259;2.50519;3.68701
9.37834;2.73080;1.80522;5.80418
4.58348;4.28782;1.60691;4.61915
3.61348;3.79363;5.47008;4.69389
6.58715;3.89028;5.74518;6.55658
-0.57998;0.86488;8.07870;7.90266
3.42480;-0.50545;3.23852;3.16497
3.11574;3.90731;5.87338;3.82497
7.62419;2.87937;7.11988;4.64846
-9.26924;-2.38437;5.17561;4.58882
5.87658;4.13448;5.00931;0.94650
2.64382;1.20104;-0.69456;3.43026
2.18291;4.47524;-0.79379;3.42447
5.48970;5.65100;4.07456;4.15152
4.44264;4.14016;-0.79978;1.59319
4.26980;5.15470;7.33292;5.00909
3.78329;5.11699;3.48562;5.00136
0.38896;20.71218;4.89715;4.90402
6.17105;2.99864;0.82746;10.38732
5.10479;0.39203;11.98361;4.71945
5.72294;4.92958;2.49297;1.48244
