Error X;Error Y;Error Fijacion X;Error Fijacion Y
1.39385;-2.40969;11.95505;45.17247
2.17769;-3.93868;0.92085;-3.16501
-3.58484;-3.22156;3.35541;-3.95703
1.52375;-1.90206;11.47802;-3.12982
7.22509;9.02997;4.14903;0.30886
-2.77449;-1.95711;8.55837;5.91389
5.38708;-1.50563;0.31427;-1.68189
0.52061;-3.68792;6.12673;-0.16317
6.43462;-2.41034;2.75544;-1.90512
0.86346;-2.46473;4.33947;-0.30645
-0.68409;-5.10713;2.27609;-2.03356
3.75222;-4.65424;11.14398;-3.19589
11.14239;-2.25006;4.92043;-0.94186
-0.67934;-2.80722;13.41848;9.54762
2.93842;-1.75528;0.81901;1.75834
1.44756;-4.16497;8.14772;0.45258
6.42449;-0.85623;0.60632;-2.97236
13.80259;-2.54424;-17.17451;0.66664
0.75235;-4.48801;9.20279;-2.29043
5.61246;4.36068;18.79921;-3.18531
0.50157;11.07490;1.42216;4.02124
-1.33328;-2.39746;3.57445;8.30437
2.51767;-3.02770;2.83163;-1.39444
-1.59358;1.51676;9.99037;-4.85637
5.50294;-1.22350;-3.31415;3.42494
3.44112;-1.54734;-7.09970;0.16788
5.89413;17.55736;4.14268;-1.73999
-1.89198;-3.52891;16.09052;15.82961
7.05367;-1.25597;4.80615;1.44337
1.19360;-5.92636;5.70769;-1.52813
-5.04106;-6.24611;0.61585;-5.96306
-0.95869;-1.96322;-4.05062;-4.94341
-9.31738;-3.96344;-0.43808;-0.24464
0.51426;-5.49213;-8.83486;-10.00906
-5.22973;-6.17666;1.88881;-1.36080
2.14594;-3.66346;-4.66150;-5.00240
2.59986;-1.63231;0.24443;-1.57180
-0.50157;-2.80111;-3.93003;1.94552
6.21740;1.43068;-2.04436;-3.63594
-0.34919;-3.90198;8.56016;-2.20220
