Error X;Error Y;Error Fijacion X;Error Fijacion Y
0.71529;-5.22698;-30.58111;-6.74652
9.32042;3.07100;-1.17682;-5.79282
6.59033;25.48310;-6.76256;-5.08528
-1.42852;-1.70235;2.24547;6.07537
4.33408;11.59956;-2.02149;-2.97669
-14.63559;13.54623;4.13462;9.64815
-14.61942;-17.96827;-11.15054;14.46753
-14.58169;13.54623;-14.59786;-18.01180
8.24256;12.79972;-5.28822;11.38686
3.59017;-0.33853;10.18050;3.35943
-5.30812;0.55230;3.70337;1.71686
-50.23539;25.59808;-4.74750;-0.61081
-90.10969;38.56712;-50.20844;25.67062
-50.28930;25.63193;-90.10160;38.58646
-10.32336;38.55745;-50.14645;25.55939
-50.16531;25.66579;-10.24250;38.63966
-50.18148;46.60775;-50.27313;25.62468
-50.18688;25.74316;-50.20305;46.61017
-50.17609;15.19964;-50.17609;25.61501
-50.08984;25.62226;-50.13566;15.10775
-72.46074;3.37258;-50.24078;25.61742
-50.13297;25.64160;-72.48769;3.36049
-18.62758;25.69480;-50.19227;25.60533
-50.17070;25.66095;-18.64914;25.60533
-60.76234;25.58357;-50.17070;25.64402
-50.27852;25.65128;-60.62758;25.59566
-31.94644;15.14644;-50.15184;25.60775
-50.21383;25.62710;-32.04616;15.10533
-102.70305;25.66095;-50.19766;25.59082
-50.20844;25.64160;-102.67609;25.64402
-25.51068;-8.39514;-50.18688;25.61742
-50.18688;25.57873;-25.52415;-8.35162
-76.51774;71.11277;-50.20305;25.61984
-50.15992;25.69964;-76.48000;71.10552
-50.21383;-26.84389;-50.13566;25.60050
-50.20305;25.59324;-50.13297;-26.89225
-74.84151;-8.33711;-50.13027;25.67304
-50.24078;25.63677;-74.84960;-8.33227
-32.07581;35.96750;-50.25426;25.64160
-50.15992;25.72382;-31.98956;36.10533
