Error X;Error Y;Error Fijacion X;Error Fijacion Y
-5.20062;3.81761;-44.79840;2.59523
-19.57538;-2.39350;-3.10577;5.31695
-4.40592;-4.64176;-3.35119;-1.04954
-23.96377;-1.51025;-4.20725;-4.09109
-2.47364;-0.72601;-4.85586;-1.08226
-4.24815;-0.80147;-2.19023;0.66974
-3.35849;0.63317;-2.15914;-0.06543
-26.90300;-0.29442;-3.19196;7.63375
-4.95991;1.94860;-6.57966;0.74422
-7.06467;0.27806;-4.95991;1.80685
-21.30503;-8.98888;-4.99610;1.31125
-4.58707;0.45798;-4.52279;-0.58709
-4.18387;-3.11035;-5.70900;3.69929
-5.89599;-0.04362;-3.48559;3.38318
-19.47663;2.55161;-3.94721;1.77468
-3.75730;1.19402;-3.03039;1.51298
-4.05720;1.98546;-3.53818;0.50160
-2.20296;0.09269;-5.11193;4.22903
-7.75857;-5.30568;-12.10752;1.77468
-6.12388;-3.46213;-7.32032;-4.26159
-4.73724;1.54296;-5.01948;-0.74149
-2.66459;0.78511;-5.38878;3.34490
-1.71905;0.01891;-0.30678;2.46983
-0.84729;0.63790;0.68843;0.91034
-8.54188;-0.62876;-4.56369;1.94370
-2.38411;0.21809;-0.59194;0.66885
-4.81633;-4.83688;-3.40086;3.24949
-0.05259;-8.51628;-4.30503;-5.38210
-0.27932;-1.91195;-2.63537;-2.10999
-23.26841;0.14176;-2.05571;1.49293
-2.26838;-6.14786;-1.95462;-1.84283
-49.59291;23.89685;-2.37940;-5.19373
-74.15718;-10.18001;-49.57246;23.79871
-49.74484;23.67331;-74.22730;-10.22635
2.69673;23.67876;-49.65134;23.67603
-49.59291;23.71692;2.91001;23.74964
-49.61044;34.17331;-49.62797;23.77417
-49.66303;23.77690;-49.63966;34.26327
-9.64854;10.80909;-49.70686;23.68694
-49.70393;23.64059;-9.64269;10.74094
