Error X;Error Y;Error Fijacion X;Error Fijacion Y
3.87032;-0.68610;220.32361;9.40642
0.06520;0.25140;3.90588;-3.15555
-4.32622;-6.81913;-0.53343;-2.03998
-0.76458;-2.05307;-6.24360;-7.83520
8.26873;-3.72885;-0.15706;-3.74214
1.05500;-5.09078;8.41987;-5.81335
-1.42248;0.78352;1.28615;-5.23743
1.64770;-18.12151;-1.73068;2.74756
9.07165;-23.44378;2.13668;-26.05622
0.80607;-3.56145;6.63862;-9.70339
-5.55619;-5.96543;2.00925;-4.78963
1.84329;-5.52025;-7.15055;-7.16219
10.78007;-10.90083;3.54730;-5.38146
0.59862;-2.18401;12.14327;-11.15746
-3.47321;-1.68226;-0.53046;-4.29207
1.10242;-12.85789;-2.92200;-0.96212
-2.39983;-5.39476;1.57361;-7.43977
0.52750;-8.42703;-0.09720;-3.19503
-7.63149;-9.17038;1.12316;-6.26659
1.93220;-4.25803;-8.76947;-6.96280
5.70887;-1.96404;0.02963;-4.31564
2.05666;-3.42528;7.52252;-2.39089
-8.19061;-7.07053;2.41228;-4.82629
0.15410;-3.36767;-8.76849;-5.86854
6.38525;-6.82961;-2.49822;-3.89665
1.57658;-5.49406;5.09910;-6.14089
-6.47573;-5.68297;-1.52323;-4.68488
2.91607;-7.05482;-10.55942;-7.09184
2.19042;-4.27793;2.36486;-5.38146
0.53936;-3.11627;3.85887;-4.07105
0.81792;-6.84427;1.23281;-4.10091
2.48340;-6.52060;-15.16714;-4.85405
3.86439;-9.21473;2.17817;-7.18575
1.04908;-5.76641;3.60953;-9.09427
-3.87597;-2.96870;1.45804;-6.74843
-0.31413;-5.76117;-4.74724;-3.74384
1.10807;-6.78155;-0.27560;-5.73760
0.46823;-10.01920;3.28624;-4.08689
-3.97589;-11.56074;-0.42674;-11.40712
-0.50379;-6.51536;-3.20242;-12.18138
