Error X;Error Y;Error Fijacion X;Error Fijacion Y
-53.41789;28.97771;-9.37725;6.65414
1.81012;-3.43545;-5.37785;5.09757
-24.61640;4.98118;-15.29010;6.15562
-31.76696;16.84669;-5.61616;-2.69980
-63.20702;17.47525;-2.93095;3.38126
-29.42340;16.41861;-8.29513;1.73127
4.41333;3.39113;4.26157;-0.36847
-49.13090;11.89943;5.05466;0.96356
-59.55298;11.94820;-49.13090;11.79106
-49.26277;11.85608;-59.57097;11.87775
-3.64659;38.12234;-49.19983;11.94007
-49.17286;11.90485;-3.66157;38.11963
-73.80590;45.87272;-49.23579;11.90214
-49.15488;11.93736;-73.85984;45.84563
-49.19684;-9.11141;-49.15188;11.81815
-49.09494;11.89943;-49.19384;-9.15747
-71.42275;-10.42320;-49.13090;11.81815
-49.20283;11.86692;-71.47669;-10.42320
-49.19084;-19.67101;-49.23579;11.86421
-49.07696;11.86150;-49.12191;-19.58431
-73.84785;-22.15515;-49.14889;11.88317
-49.13690;11.81273;-73.88382;-22.09283
-3.62861;-14.38308;-49.07696;11.89672
-49.12491;11.86692;-3.70653;-14.39663
-49.19684;64.34524;-49.17586;11.88588
-49.17286;11.89943;-49.15188;64.38317
-49.19684;-30.10599;-49.19384;11.90756
-49.13690;11.83982;-49.13090;-30.07077
-75.41687;-33.53981;-49.19983;11.77751
-49.13090;11.83441;-75.38390;-33.61838
-26.83307;-10.36360;-49.09194;11.83441
-49.16087;11.83441;-26.91698;-10.41778
-89.11124;-1.07928;-49.19084;11.88046
-49.16087;11.84524;-89.15619;-1.05761
3.29118;11.85066;-49.14889;11.87775
-49.21482;11.89943;3.23723;11.88046
-75.48280;57.35493;-49.14889;11.92652
-49.19084;11.96987;-75.42885;57.33596
-31.10021;22.39401;-49.15488;11.86421
-49.11292;11.94278;-30.99831;22.37505
