Error X;Error Y;Error Fijacion X;Error Fijacion Y
8.04882;2.27156;30.90280;5.77092
4.78791;-2.97681;8.96005;4.41768
-0.18620;-4.40488;3.85824;-1.52738
6.28380;-1.57367;0.45114;-3.58151
3.35849;4.93536;8.04832;2.10715
-0.60046;-0.19488;1.46755;4.66253
1.41320;-1.63213;2.02261;1.82457
19.71522;2.93296;3.92039;-0.85260
6.93201;-0.44774;2.59411;-0.03167
3.30782;-1.20826;5.94177;-1.01777
4.96172;-3.77738;4.29279;-2.35319
3.68179;-2.29473;4.33756;-3.51429
22.75967;32.99727;3.70286;-0.49938
6.25746;-2.57730;11.19285;6.02329
4.81726;-1.07222;5.73074;-1.36904
7.28457;-1.82701;7.08743;2.35282
9.16620;1.69442;6.23903;0.23386
17.51879;1.92932;9.06348;3.25347
0.71108;-4.67539;7.07652;0.65285
4.69310;-2.43601;0.79535;-3.92023
11.54610;2.51835;4.15321;-0.88915
1.51169;-2.60654;8.67019;5.46106
31.37566;9.00916;1.60914;0.07064
4.18218;-2.67962;3.88865;-0.59361
6.94866;-0.93952;4.29805;0.00000
3.56591;-0.13642;4.29661;1.72304
7.87854;-0.80493;4.16637;-0.57003
20.97409;2.99630;8.12873;1.49466
7.17396;-1.90418;3.39209;0.54567
5.08814;-0.01462;7.16869;0.21028
5.75950;-3.97070;5.70177;-1.06941
4.32439;-1.19365;4.19250;-1.74419
4.55272;-4.09307;5.00913;-0.82337
7.52686;-1.61751;4.11818;-1.43051
11.29243;0.51275;14.45326;1.17903
8.04305;-1.13031;9.42520;4.50051
11.60595;-1.43275;6.08891;-0.96466
4.61409;-0.55054;9.80456;-0.37064
2.43872;-2.90120;3.88721;-0.06090
5.07760;-5.14486;3.03919;-4.55525
